CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	Temperature	Pressure	SumFormula	
66781	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5960 3.5960 5.1841 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66782	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5958 3.5958 5.1844 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66783	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5957 3.5957 5.1844 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66784	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5957 3.5957 5.1845 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66785	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5961 3.5961 5.1843 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66786	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5958 3.5958 5.1849 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66787	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5957 3.5957 5.1850 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66788	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5936 3.5936 5.1814 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
66789	Zr O2	Zirconia-ZrO2(HT)	Journal of Materials Science (1995) 30, (*) p1621-p1625	3.5916 3.5916 5.1790 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
68589	Zr O2	Zirconia-ZrO2(HT)	Journal of Applied Crystallography (1990) 23, (*) p246-p252	3.5961 3.5961 5.1770 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
68781	Zr O2	Zirconia-ZrO2(HT)	Journal of the American Ceramic Society (1990) 73, (10) p2828-p2833	3.5925 3.5925 5.1837 90.000 90.000 90.000	293.00	0.101325	O2 Zr1	
70014	Zr O1.99		Acta Crystallographica, Section B: Structural Science (1993) 49, (*) p403-p413	3.6067 3.6067 5.1290 90.000 90.000 90.000	295.00	0.101325	O1.99 Zr1	
70015	Zr O1.88		Acta Crystallographica, Section B: Structural Science (1993) 49, (*) p403-p413	3.6067 3.6067 5.1520 90.000 90.000 90.000	770.00	0.101325	O1.88 Zr1	
72699	Zr0.94 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6231 3.6231 5.2412 90.000 90.000 90.000	1100.00	0.101325	O2 Zr0.94	
72700	Zr0.94 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6280 3.6280 5.2493 90.000 90.000 90.000	1150.00	0.101325	O2 Zr0.94	
72701	Zr0.94 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6319 3.6319 5.2594 90.000 90.000 90.000	1190.00	0.101325	O2 Zr0.94	
72702	Zr0.946 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6398 3.6398 5.2617 90.000 90.000 90.000	1220.00	0.101325	O2 Zr0.946	
72703	Zr0.942 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6327 3.6327 5.2619 90.000 90.000 90.000	1270.00	0.101325	O2 Zr0.942	
72704	Zr0.952 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6370 3.6370 5.2696 90.000 90.000 90.000	1380.00	0.101325	O2 Zr0.952	
72705	Zr0.958 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6398 3.6398 5.2745 90.000 90.000 90.000	1450.00	0.101325	O2 Zr0.958	
72706	Zr0.95 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6437 3.6437 5.2817 90.000 90.000 90.000	1550.00	0.101325	O2 Zr0.95	
72707	Zr0.952 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6455 3.6455 5.2850 90.000 90.000 90.000	1600.00	0.101325	O2 Zr0.952	
72708	Zr0.952 O2	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1991) 47, (*) p881-p886	3.6576 3.6576 5.3048 90.000 90.000 90.000	1900.00	0.101325	O2 Zr0.952	
72949	Zr O1.95	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1993) 49, (*) p403-p413	3.6067 3.6067 5.1758 90.000 90.000 90.000	295.00	0.101325	O1.95 Zr1	
