CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
29262	Zr (Ge O4)	Scheelite-CaWO4	Materials Research Bulletin (1984) 19, (*) p793-p799	4.8660 4.8660 10.5500 90.000 90.000 90.000	4	293.00	0.101325	Ge1 O4 Zr1		
62994	Zr0.935 Y0.065 O1.968	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1988) 44, (*) p116-p120	3.6055 3.6055 5.1797 90.000 90.000 90.000	2	293.00	0.101325	O1.968 Y0.065 Zr0.935		
655671	(Zr0.935 Y0.065) O1.968	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1988) 44, (2) p116-p120	3.6055 3.6055 5.1797 90.000 90.000 90.000	2	293.00	0.101325	O1.968 Y0.065 Zr0.935		
75309	(Zr0.9 Y0.1) O1.95	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1994) 50, (*) p663-p672	3.6183 3.6183 5.1634 90.000 90.000 90.000	2	293.00	0.101325	O1.95 Y0.1 Zr0.9		
75310	Zr0.88 Y0.12 O1.94	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1994) 50, (*) p663-p672	3.6228 3.6228 5.1575 90.000 90.000 90.000	2	293.00	0.101325	O1.94 Y0.12 Zr0.88		
75311	Zr0.86 Y0.14 O1.93	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1994) 50, (*) p663-p672	3.6309 3.6309 5.1532 90.000 90.000 90.000	2	293.00	0.101325	O1.93 Y0.14 Zr0.86		
75312	Zr0.84 Y0.16 O1.92	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1994) 50, (*) p663-p672	3.6351 3.6351 5.1409 90.000 90.000 90.000	2	293.00	0.101325	O1.92 Y0.16 Zr0.84		
75313	Zr0.82 Y0.18 O1.91	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (1994) 50, (*) p663-p672	3.6369 3.6369 5.1434 90.000 90.000 90.000	2	293.00	0.101325	O1.91 Y0.18 Zr0.82		
171370	Zr0.994 Hf0.006 O1.968	Zirconia-ZrO2(HT)	Acta Crystallographica, Section B: Structural Science (2006) 62, (1) p161-p164	3.5865 3.5865 5.1666 90.000 90.000 90.000	2	298.00	0.101325	Hf0.006 O1.968 Zr0.994		
86603	(Zr0.96 Y0.04) O1.984	Zirconia-ZrO2(HT)	Australian Journal of Physics (1998) 51, (*) p539-p545	3.6041 3.6041 5.1804 90.000 90.000 90.000	2	293.00	0.101325	O1.984 Y0.04 Zr0.96		
183857	(Ce0.1 Zr0.9) O2	Zirconia-ZrO2(HT)	Fuel Cells (Weinhem, Germany) (2011) 11, (5) p642-p653	3.6333 3.6333 5.2378 90.000 90.000 90.000	2	293.00	0.101325	Ce0.1 O2 Zr0.9		
183858	(Ce0.2 Zr0.8) O2	Zirconia-ZrO2(HT)	Fuel Cells (Weinhem, Germany) (2011) 11, (5) p642-p653	3.6418 3.6418 5.2416 90.000 90.000 90.000	2	293.00	0.101325	Ce0.2 O2 Zr0.8		
183860	(Ce0.3 Zr0.7) O2	Zirconia-ZrO2(HT)	Fuel Cells (Weinhem, Germany) (2011) 11, (5) p642-p653	3.6444 3.6444 5.2463 90.000 90.000 90.000	2	293.00	0.101325	Ce0.3 O2 Zr0.7		
183861	(Ce0.3 Zr0.7) O2	Zirconia-ZrO2(HT)	Fuel Cells (Weinhem, Germany) (2011) 11, (5) p642-p653	3.6942 3.6942 5.2914 90.000 90.000 90.000	2	293.00	0.101325	Ce0.3 O2 Zr0.7		
