CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
41530	Sn.918 Sb.109 O2	(Sn,Sb)O2	Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry  (1981) 1981, (*) p2447-p2451	4.7373 4.7373 3.1816 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.109 Sn0.918		
82657	Ti B0.024 O2	(Sn,Sb)O2	Journal of Solid State Chemistry (1996) 127, (*) p240-p247	4.6092 4.6092 2.9673 90.000 90.000 90.000	2	293.00	0.101325	B0.024 O2 Ti1		
258169	Sn0.99 Sb0.01 O2	(Sn,Sb)O2	Journal of Alloys and Compounds (2017) 692, (*) p515-p521	4.7383 4.7383 3.1874 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.01 Sn0.99		
258170	Sn0.97 Sb0.03 O2	(Sn,Sb)O2	Journal of Alloys and Compounds (2017) 692, (*) p515-p521	4.7401 4.7401 3.1895 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.03 Sn0.97		
258171	Sn0.95 Sb0.05 O2	(Sn,Sb)O2	Journal of Alloys and Compounds (2017) 692, (*) p515-p521	4.7416 4.7416 3.1914 90.000 90.000 90.000	2	293.00	0.101325	O2 Sb0.05 Sn0.95		
72769	(Ti0.85 Sn0.15) O2	Anatase-TiO2	Journal of the Ceramic Society of Japan (1992) 100, (12) p1473-p1474	3.8065 3.8065 9.6733 90.000 90.000 90.000	4	293.00	0.101325	O2 Sn0.15 Ti0.85		
156839	(Ti0.99 Ce0.01) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7944 3.7944 9.5134 90.000 90.000 90.000	4	293.00	0.101325	Ce0.01 O2 Ti0.99		
156840	(Ti0.98 Ce0.02) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7956 3.7956 9.5143 90.000 90.000 90.000	4	293.00	0.101325	Ce0.02 O2 Ti0.98		
156841	(Ti0.96 Ce0.04) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7966 3.7966 9.5155 90.000 90.000 90.000	4	293.00	0.101325	Ce0.04 O2 Ti0.96		
156842	(Ti0.94 Ce0.06) O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7977 3.7977 9.5168 90.000 90.000 90.000	4	293.00	0.101325	Ce0.06 O2 Ti0.94		
159911	(Ti0.98 Cr0.02) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7886 3.7886 9.5045 90.000 90.000 90.000	4	293.00	0.101325	Cr0.02 O2 Ti0.98		
159912	(Ti0.96 Cr0.04) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7877 3.7877 9.5003 90.000 90.000 90.000	4	293.00	0.101325	Cr0.04 O2 Ti0.96		
159913	(Ti0.94 Cr0.06) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7858 3.7858 9.4889 90.000 90.000 90.000	4	293.00	0.101325	Cr0.06 O2 Ti0.94		
159914	(Ti0.93 Cr0.07) O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7852 3.7852 9.4860 90.000 90.000 90.000	4	293.00	0.101325	Cr0.07 O2 Ti0.93		
189266	(Ti0.99 Eu0.01) O2	Anatase-TiO2	Journal of Alloys and Compounds (2013) 581, (*) p330-p334	3.8007 3.8007 9.5445 90.000 90.000 90.000	4	293.00	0.101325	Eu0.01 O2 Ti0.99		
8245	Nb0.96 Ti0.04 O2	NbO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p2836-p2842	13.6660 13.6660 5.9970 90.000 90.000 90.000	32	293.00	0.101325	Nb0.96 O2 Ti0.04		
8246	Nb0.955 Ti0.045 O2	NbO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p2836-p2842	13.6320 13.6320 5.9710 90.000 90.000 90.000	32	293.00	0.101325	Nb0.955 O2 Ti0.045		
8247	Nb0.80 Ti0.20 O2	NbO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1979) 35, (*) p2836-p2842	13.5590 13.5590 5.9980 90.000 90.000 90.000	32	293.00	0.101325	Nb0.8 O2 Ti0.2		
72275	Cr Nb O4	Rutile-TiO2	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1992) 609, (*) p51-p54	4.6484 4.6484 3.0113 90.000 90.000 90.000	1	293.00	0.101325	Cr1 Nb1 O4		
