CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
9852	Ti O2	Anatase-TiO2	Zeitschrift fuer Kristallographie (1972) 136, (*) p273-p281	3.7842 3.7842 9.5146 90.000 90.000 90.000	4	298.00	0.101325	O2 Ti1	3.88(9)	
9853	Ti O2	Anatase-TiO2	Zeitschrift fuer Kristallographie (1972) 136, (*) p273-p281	3.7892 3.7892 9.5370 90.000 90.000 90.000	4	573.00	0.101325	O2 Ti1		
9854	Ti O2	Anatase-TiO2	Zeitschrift fuer Kristallographie (1972) 136, (*) p273-p281	3.7971 3.7971 9.5790 90.000 90.000 90.000	4	873.00	0.101325	O2 Ti1		
9855	Ti O2	Anatase-TiO2	Zeitschrift fuer Kristallographie (1972) 136, (*) p273-p281	3.8040 3.8040 9.6140 90.000 90.000 90.000	4	1073.00	0.101325	O2 Ti1	3.87	
92363	Ti O2	Anatase-TiO2	Ultramicroscopy (2000) 81, (*) p263-p270	3.7710 3.7710 9.4300 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
93098	Ti O2	Anatase-TiO2	Journal of Applied Crystallography (2001) 34, (*) p757-p762	3.7840 3.7840 9.5000 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
94566	Ti O2	Anatase-TiO2	Acta Crystallographica, Section A: Foundations of Crystallography (2002) 58, (*) p308-p315	3.8720 3.8720 9.6160 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
154601	Ti O2	Anatase-TiO2	Journal of Alloys and Compounds (2006) 413, (*) p159-p174	3.7960 3.7960 9.4440 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
154602	Ti O2	Anatase-TiO2	Journal of Alloys and Compounds (2006) 413, (*) p159-p174	3.7990 3.7990 9.5090 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
154603	Ti O2	Anatase-TiO2	Journal of Alloys and Compounds (2006) 413, (*) p159-p174	3.7850 3.7850 9.4820 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
154604	Ti O2	Anatase-TiO2	Journal of Alloys and Compounds (2006) 413, (*) p159-p174	3.7860 3.7860 9.4950 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
156838	Ti O2	Anatase-TiO2	Gaoya Wuli Xuebao (2006) 20, (2) p211-p216	3.7927 3.7927 9.5091 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
159910	Ti O2	Anatase-TiO2	Wuli Xuebao (2007) 56, (6) p3379-p3387	3.7927 3.7927 9.5091 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
172914	Ti O2	Anatase-TiO2	Journal of Solid State Chemistry (2007) 180, (1) p322-p330	3.7846 3.7846 9.5123 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
172916	Ti O2	Anatase-TiO2	Journal of Solid State Chemistry (2007) 180, (1) p322-p330	3.7850 3.7850 9.5133 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
24276	Ti O2	Anatase-TiO2	Zeitschrift fuer Kristallographie (1942) 104, (*) p358-p374	3.7760 3.7760 9.4860 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
31064	Ti O2	Anatase-TiO2	Zeitschrift fuer Kristallographie (1924) 59, (*) p1-p54	3.7300 3.7300 9.3700 90.000 90.000 90.000	4	293.00	0.101325	O2 Ti1		
