,Ce,Ti,Hf,Sn,Ge,Y,Sc,Yb,Er,Sm,Nd,Gd,La,In,Nb,Ta,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,T,tetr_a,tetr_c,ref,mono_a,mono_b,mono_c,mono_beta
0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,88.0,1.3048,0.43488000000000004,4.0,0.7531,0.8556,1.5859999999999999,2.0024,25.0,5.132000000000001,5.228,Hannink2000,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,920.4656024,5.135432559,5.258325516,Boysen1991,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,953.5305038999999,5.136992266,5.261434311,Boysen1991,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,998.7757207999998,5.137006867,5.261448912,Boysen1991,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,1110.292331,5.143239058,5.268713828,Boysen1991,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,1182.591936,5.147392524,5.273901347,Boysen1991,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,1283.772447,5.152589335,5.280645918,Boysen1991,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,1335.41755,5.155703439,5.284277712,Boysen1991,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,100.0,1.33,0.426,4.0,0.76,0.84,1.55,2.06,1634.881276,5.172840304,5.303995062,Boysen1991,,,,
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,90.0,1.3090000000000002,0.4334,4.0,0.75425,0.853,1.58,2.012,25.0,5.133029546,5.212999999999999,Yashima1995,,,,
10,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,88.0,1.3048,0.43488000000000004,4.0,0.7531,0.8556,1.5859999999999999,2.0024,25.0,5.133170967,5.2217,Yashima1995,,,,
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,85.0,1.2985,0.4371,4.0,0.751375,0.8595,1.595,1.9880000000000002,25.0,5.137116623,5.22879,Yashima1995,,,,
12,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,85.0,1.2985,0.4371,4.0,0.751375,0.8595,1.595,1.9880000000000002,25.0,5.1406,5.2327,Tani1983,,,,
13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,85.0,1.2985,0.4371,4.0,0.751375,0.8595,1.595,1.9880000000000002,25.0,5.1394,5.2295,Tani1983,,,,
