"mol%TiO2","mol%HfO2","Ms (K)","T0 (K)"
0,0,1314.4,1470.3
0,1,1323.4822778237935,1480.7759400393888
0,2,1332.0236146814495,1489.2919115931372
0,3,1340.5240105729677,1497.7479146612445
0,4,1348.9834654983486,1506.1439492437014
0,5,1357.4019794575922,1514.4800153405176
0,6,1365.7795524506976,1522.7561129516919
0,7,1374.1161844776661,1530.9722420772168
0,8,1382.4118755384977,1539.1284027171002
0,9,1390.6666256331903,1547.2245948713428
0,10,1398.880434761747,1555.260818539935
0,11,1407.0533029241653,1563.2370737228864
0,12,1415.185230120455,1571.1533604201873
0,13,1423.2762163505995,1579.0096786318559
0,14,1431.3262616146055,1586.8060283578657
0,15,1439.3353659124737,1594.542409598244
0,16,1447.3035292442132,1602.2188223529708
0,17,1455.2307516098078,1609.8352666220576
0,18,1463.1170330092648,1617.391742405493
0,19,1470.962373442592,1624.8882497032896
0,20,1478.766772909774,1632.3247885154442
0,21,1486.530231410826,1639.7013588419468
0,22,1494.2527489457332,1647.01796068281
0,23,1501.9343255145109,1654.2745940380316
0,24,1509.5749611171425,1661.471258907602
0,25,1517.174655753645,1668.6079552915353
0,26,1524.733409424002,1675.6846831898142
0,27,1532.2512221282293,1682.7014426024632
0,28,1539.7280938663189,1689.6582335294609
0,29,1547.1640246382635,1696.5550559708079
0,30,1554.559014444078,1703.3919099265167
0,31,1561.9130632837578,1710.1687953965823
0,32,1569.2261711572971,1716.8857123809973
0,33,1576.4983380646927,1723.5426608797713
0,34,1583.7295640059563,1730.1396408929043
0,35,1590.9198489810863,1736.6766524203965
0,36,1598.0691929900752,1743.153695462238
0,37,1605.177596032931,1749.5707700184328
0,38,1612.2450581096446,1755.9278760889888
0,39,1619.2715792202212,1762.2250136739012
0,40,1626.2571593646642,1768.46218277316
0,41,1633.2017985429652,1774.6393833867817
0,42,1640.1054967551333,1780.7566155147588
0,43,1646.9682540011634,1786.8138791570946
0,44,1653.7900702810525,1792.81117431378
0,45,1660.5709455948079,1798.7485009848247
0,46,1667.3108799424213,1804.6258591702226
0,47,1674.0098733239076,1810.443248869976
0,48,1680.6679257392502,1816.2006700840877
0,49,1687.2850371884565,1821.8981228125594
0,50,1693.8612076715199,1827.53560705538
0,51,1700.3964371884558,1833.1131228125548
0,52,1706.8907257392493,1838.630670084089
0,53,1713.3440733239051,1844.0882488699765
0,54,1719.7564799424283,1849.48585917022
0,55,1726.1279455948093,1854.8235009848263
0,56,1732.4584702810575,1860.1011743137824
0,57,1738.7480540011634,1865.318879157093
0,58,1744.9966967551366,1870.4766155147618
0,59,1751.2043985429682,1875.5743833867812
0,60,1757.371159364666,1880.612182773164
0,61,1763.4969792202223,1885.590013673896
0,62,1769.5818581096453,1890.5078760889871
0,63,1775.6257960329303,1895.3657700184338
0,64,1781.6287929900745,1900.1636954622372
0,65,1787.5908489810843,1904.9016524203923
0,66,1793.5119640059636,1909.5796408929107
0,67,1799.3921380646984,1914.197660879778
0,68,1805.2313711572926,1918.755712381001
0,69,1811.0296632837528,1923.2537953965805
0,70,1816.7870144440817,1927.6919099265147
0,71,1822.5034246382668,1932.0700559708066
0,72,1828.1788938663137,1936.3882335294595
0,73,1833.8134221282307,1940.6464426024618
0,74,1839.4070094240035,1944.8446831898218
0,75,1844.9596557536452,1948.9829552915326
0,76,1850.4713611171421,1953.061258907603
0,77,1855.942125514509,1957.0795940380324
0,78,1861.3719489457308,1961.0379606828108
0,79,1866.7608314108231,1964.9363588419487
0,80,1872.1087729097778,1968.7747885154438
0,81,1877.4157734425874,1972.5532497032905
0,82,1882.6818330092672,1976.2717424054963
0,83,1887.9069516098114,1979.9302666220526
0,84,1893.0911292442077,1983.5288223529744
0,85,1898.2343659124754,1987.0674095982376
0,86,1903.3366616146059,1990.5460283578705
0,87,1908.3980163505994,1993.964678631852
0,88,1913.418430120455,1997.3233604201916
0,89,1918.3979029241646,2000.6220737228825
0,90,1923.336434761745,2003.8608185399312
0,91,1928.2340256331881,2007.03959487134
0,92,1933.0906755384938,2010.1584027171064
0,93,1937.906384477662,2013.2172420772235
0,94,1942.6811524506927,2016.21611295169
0,95,1947.4149794575865,2019.155015340525
0,96,1952.1078654983423,2022.0339492437097
0,97,1956.7598105729699,2024.8529146612434
0,98,1961.3708146814506,2027.611911593146
0,99,1965.9408778237942,2030.3109400393887
0,100,1970.47,2032.95
1,0,1211.3005901155643,1360.0650356528154
1,1,1267.391433969679,1420.420487846102
1,2,1291.782606492821,1446.2162862796963
1,3,1308.2181554586168,1463.3271949091372
1,4,1321.4468904217917,1476.9281665255244
1,5,1333.0517479005875,1488.744185392567
1,6,1343.7111292599643,1499.5145304804237
1,7,1353.7642351824036,1509.6088412741667
1,8,1363.399510491505,1519.2324730432906
1,9,1372.730022081428,1528.5086389494902
1,10,1381.8277216120941,1537.5157473683787
1,11,1390.7405768567817,1546.3060705503806
1,12,1399.501796273925,1554.9157969765436
1,13,1408.1351001909538,1563.3707755619243
1,14,1416.6578835146693,1571.6899621775292
1,15,1425.0831924251668,1579.8875737266546
1,16,1433.421003413116,1587.974481958844
1,17,1441.6790759712387,1595.9591426793218
1,18,1449.8635360148594,1603.8482315237732
1,19,1457.9792842762408,1611.647089000766
1,20,1466.0302880148115,1619.3600383791286
1,21,1474.0197931701325,1626.9906168788045
1,22,1481.9504811705085,1634.541746551071
1,23,1489.8245865395547,1642.0158624386477
1,24,1497.6439862770794,1649.4150099774106
1,25,1505.410268613719,1656.7409199208153
1,26,1513.1247864866523,1663.9950666143695
1,27,1520.7886995563483,1671.1787137828328
1,28,1528.403007530086,1678.2929508440593
1,29,1535.96857682084,1685.338721960208
1,30,1543.486162046384,1692.3168494660747
1,31,1550.9564234972518,1699.2280529045895
1,32,1558.3799414287598,1706.0729646013554
1,33,1565.7572278308946,1712.852142490743
1,34,1573.0887361805164,1719.5660807431873
1,35,1580.3748695681552,1726.215218621297
1,36,1587.6159875069804,1732.7999478998213
1,37,1594.8124116666843,1739.3206191140741
1,38,1601.964430725181,1745.7775468470356
1,39,1609.0723044926049,1752.1710142233744
1,40,1616.1362674317593,1758.5012767458347
1,41,1623.1565316756462,1764.768565583592
