mol%TiO2,mol%Y2O3,T0 (K),Ms (K)
0,0,1367.,1217.
2,0,1353.1300713056307,1205.6011802311286
4,0,1340.4651162790697,1195.1162790697674
6,0,1328.8979201530003,1185.4601960315563
8,0,1318.336483931947,1176.5595463137997
10,0,1308.701754385965,1168.3508771929824
12,0,1299.9257884972171,1160.7792207792209
14,0,1291.9502647939212,1153.7969145751783
16,0,1284.7252747252746,1147.3626373626373
18,0,1278.2083428310918,1141.4406200136768
20,0,1272.3636363636363,1136.
0,0.5,1125.7725838769584,973.3716997837352
1,0.5,1122.486124,971.4848783
2,0.5,1119.370859,969.6881972
3,0.5,,
4,0.5,,
5,0.5,1110.976631,964.7964262
6,0.5,1108.473379,963.3196704
7,0.5,1106.10758,961.9146445
8,0.5,1103.874071,960.5779597
9,0.5,,
10,0.5,1099.78488,958.1000027
11,0.5,1097.92069,956.9537024
12,0.5,1096.17165,955.8663553
13,0.5,1094.534326,954.8360541
14,0.5,1093.005584,953.8609348
15,0.5,1091.582512,952.9393667
16,0.5,1090.26255,952.0698267
17,0.5,,
18,0.5,1087.922704,950.4812425
19,0.5,1086.898805,949.7596487
20,0.5,1085.969936,949.0852856
0,1.,879.6680643524584,725.024264337683
1,1,880.6097685,727.4937478
2,1,881.5562186,729.8810796
3,1,882.508194,732.1912244
4,1,883.4666865,734.4287955
5,1,884.4325837,736.598088
6,1,885.4067601,738.7032729
7,1,886.3900594,740.7478379
8,1,887.3833396,742.7352941
9,1,888.3874901,744.6692422
10,1,889.4033436,746.5522836
11,1,890.4317609,748.3875692
12,1,891.4736143,750.178032
13,1,892.5297763,751.9258143
14,1,893.6011473,753.6337855
15,1,894.6886337,755.3040229
16,1,895.7931041,756.9385798
17,1,896.9155448,758.5398423
18,1,898.0569383,760.109701
19,1,899.2182664,761.6497763
20,1,900.4005069,763.1622544
0,1.5,629.5578655697602,472.84255341378054
1,1.5,635.1436136,480.0852451
2,1.5,,
3,1.5,645.7726069,493.7546782
4,1.5,650.8382496,500.212347
5,1.5,655.7515466,506.4376471
6,1.5,660.521843,512.443201
7,1.5,665.1578585,518.2411255
8,1.5,669.6677448,523.8423213
9,1.5,674.0590308,529.257409
10,1.5,678.3389409,534.4958662
11,1.5,682.5141876,539.5666306
12,1.5,686.5910291,544.4784159
13,1.5,690.5755611,549.2387317
14,1.5,694.4733251,553.8553043
15,1.5,698.2897185,558.3349439
16,1.5,702.02981,562.6842175
17,1.5,705.6984062,566.9093048
18,1.5,709.3001109,571.016054
19,1.5,712.8393424,575.0098778
20,1.5,716.3203075,578.8959892
