Al,Y
0.0,3.0
0.148728549,2.981406749
0.416411513,2.923681987
0.675176653,2.884151119
0.940388703,2.832051366
1.201236676,2.789037715
1.456015067,2.758541319
1.714395965,2.721175335
1.972397126,2.684923537
2.228312473,2.653212817
2.481573823,2.627190198
2.733319286,2.604576234
2.986392926,2.579658836
3.239657408,2.554722648
3.492544275,2.530911613
3.744485171,2.509371319
3.997186333,2.486669847
4.243824627,2.476548539
4.494066947,2.459545372
4.743933166,2.443675206
4.992286443,2.43123233
5.304541515,2.408240696
5.410974831,2.097773519
5.502873281,1.80127246
5.608759702,1.476632429
5.740528715,1.085077387
5.843762915,0.802926333
5.975306384,0.434171143
6.080167905,0.115603336
6.13,0
