Y,Gd
3.015242802,0.012249294
2.888521666,0.130274859
2.761745711,0.230004226
2.656126187,0.319203287
2.52942119,0.437214217
2.411771212,0.526602072
2.266680341,0.651975236
2.125688827,0.775305819
1.945878188,0.928580846
1.757906841,1.085908683
1.58630439,1.235090428
1.426964766,1.367528224
1.267639362,1.4999542
1.120584283,1.626275517
1.03031278,1.69592135
0.945892893,1.774549952
0.840370316,1.86366684
0.734853484,1.952778876
0.629342395,2.041886061
0.538600074,2.107135411
0.377312616,2.240509934
0.291752179,2.31965867
0.186266493,2.408744601
0.101895553,2.469001118
0.017506341,2.54760203
