mol%CeO2,"Ms (K, Eddie)","T0 (K, Eddie)",Ms (K),T0 (K)
0,1297.9,1485.8,1217,1367
0.100502513,1293.520116,1479.154624,1212.620116,1360.354624
0.201005025,1289.086794,1472.494879,1208.186794,1353.694879
0.301507538,1284.600036,1465.820765,1203.700036,1347.020765
0.40201005,1280.05984,1459.132282,1199.15984,1340.332282
0.502512563,1275.466208,1452.429429,1194.566208,1333.629429
0.603015075,1270.819138,1445.712206,1189.919138,1326.912206
0.703517588,1266.118632,1438.980615,1185.218632,1320.180615
0.804020101,1261.364688,1432.234654,1180.464688,1313.434654
0.904522613,1256.557308,1425.474323,1175.657308,1306.674323
1.005025126,1251.69649,1418.699624,1170.79649,1299.899624
1.105527638,1246.782235,1411.910555,1165.882235,1293.110555
1.206030151,1241.814544,1405.107116,1160.914544,1286.307116
1.306532663,1236.793415,1398.289309,1155.893415,1279.489309
1.407035176,1231.718849,1391.457132,1150.818849,1272.657132
1.507537688,1226.590846,1384.610586,1145.690846,1265.810586
1.608040201,1221.409406,1377.74967,1140.509406,1258.94967
1.708542714,1216.174529,1370.874385,1135.274529,1252.074385
1.809045226,1210.886215,1363.984731,1129.986215,1245.184731
1.909547739,1205.544465,1357.080707,1124.644465,1238.280707
2.010050251,1200.149277,1350.162314,1119.249277,1231.362314
2.110552764,1194.700651,1343.229552,1113.800651,1224.429552
2.211055276,1189.198589,1336.28242,1108.298589,1217.48242
2.311557789,1183.64309,1329.320919,1102.74309,1210.520919
2.412060302,1178.034154,1322.345049,1097.134154,1203.545049
2.512562814,1172.371781,1315.354809,1091.471781,1196.554809
2.613065327,1166.655971,1308.3502,1085.755971,1189.5502
2.713567839,1160.886724,1301.331222,1079.986724,1182.531222
2.814070352,1155.064039,1294.297874,1074.164039,1175.497874
2.914572864,1149.187918,1287.250157,1068.287918,1168.450157
3.015075377,1143.25836,1280.188071,1062.35836,1161.388071
3.115577889,1137.275364,1273.111615,1056.375364,1154.311615
3.216080402,1131.238932,1266.02079,1050.338932,1147.22079
3.316582915,1125.149062,1258.915596,1044.249062,1140.115596
3.417085427,1119.005756,1251.796032,1038.105756,1132.996032
3.51758794,1112.809012,1244.662099,1031.909012,1125.862099
3.618090452,1106.558832,1237.513797,1025.658832,1118.713797
3.718592965,1100.255214,1230.351125,1019.355214,1111.551125
3.819095477,1093.89816,1223.174084,1012.99816,1104.374084
3.91959799,1087.487668,1215.982674,1006.587668,1097.182674
4.020100503,1081.023739,1208.776895,1000.123739,1089.976895
4.120603015,1074.506374,1201.556746,993.6063736,1082.756746
4.221105528,1067.935571,1194.322227,987.0355708,1075.522227
4.32160804,1061.311331,1187.07334,980.411331,1068.27334
4.422110553,1054.633654,1179.810083,973.7336542,1061.010083
4.522613065,1047.90254,1172.532456,967.0025403,1053.732456
4.623115578,1041.117989,1165.240461,960.2179894,1046.440461
4.72361809,1034.280002,1157.934096,953.3800015,1039.134096
4.824120603,1027.388577,1150.613361,946.4885766,1031.813361
4.924623116,1020.443715,1143.278258,939.5437146,1024.478258
5.025125628,1013.445416,1135.928785,932.5454155,1017.128785
5.125628141,1006.393679,1128.564942,925.4936795,1009.764942
5.226130653,999.2885064,1121.186731,918.3885064,1002.386731
5.326633166,992.1298962,1113.79415,911.2298962,994.9941496
5.427135678,984.917849,1106.387199,904.017849,987.5871993
5.527638191,977.6523648,1098.96588,896.7523648,980.1658796
5.628140704,970.3334436,1091.530191,889.4334436,972.7301907
5.728643216,962.9610853,1084.080132,882.0610853,965.2801323
5.829145729,955.53529,1076.615705,874.63529,957.8157047
5.929648241,948.0560577,1069.136908,867.1560577,950.3369077
6.030150754,940.5233883,1061.643741,859.6233883,942.8437413
6.130653266,932.9372819,1054.136206,852.0372819,935.3362057
6.231155779,925.2977384,1046.614301,844.3977384,927.8143006
6.331658291,917.604758,1039.078026,836.704758,920.2780263
6.432160804,909.8583404,1031.527383,828.9583404,912.7273826
6.532663317,902.0584859,1023.96237,821.1584859,905.1623696
6.633165829,894.2051943,1016.382987,813.3051943,897.5829873
6.733668342,886.2984657,1008.789236,805.3984657,889.9892356
6.834170854,878.3383,1001.181115,797.4383,882.3811146
6.934673367,870.3246974,993.5586243,789.4246974,874.7586243
7.035175879,862.2576576,985.9217646,781.3576576,867.1217646
7.135678392,854.1371809,978.2705356,773.2371809,859.4705356
7.236180905,845.9632671,970.6049372,765.0632671,851.8049372
7.336683417,837.7359163,962.9249696,756.8359163,844.1249696
7.43718593,829.4551284,955.2306326,748.5551284,836.4306326
7.537688442,821.1209035,947.5219262,740.2209035,828.7219262
7.638190955,812.7332416,939.7988505,731.8332416,820.9988505
7.738693467,804.2921426,932.0614055,723.3921426,813.2614055
7.83919598,795.7976066,924.3095912,714.8976066,805.5095912
