mol%HfO2,"Ms (K, Eddie)","T0 (K, Eddie)",Ms (K),T0 (K)
0,1314.4,1470.3,1217,1367
0.502512563,1318.349469,1474.430863,1220.949469,1371.130863
1.005025126,1322.292349,1478.544958,1224.892349,1375.244958
1.507537688,1326.22864,1482.642286,1228.82864,1379.342286
2.010050251,1330.158341,1486.722847,1232.758341,1383.422847
2.512562814,1334.081454,1490.78664,1236.681454,1387.48664
3.015075377,1337.997977,1494.833667,1240.597977,1391.533667
3.51758794,1341.907911,1498.863926,1244.507911,1395.563926
4.020100503,1345.811255,1502.877418,1248.411255,1399.577418
4.522613065,1349.708011,1506.874142,1252.308011,1403.574142
5.025125628,1353.598177,1510.8541,1256.198177,1407.5541
5.527638191,1357.481754,1514.81729,1260.081754,1411.51729
6.030150754,1361.358741,1518.763713,1263.958741,1415.463713
6.532663317,1365.22914,1522.693368,1267.82914,1419.393368
7.035175879,1369.092949,1526.606256,1271.692949,1423.306256
7.537688442,1372.950169,1530.502377,1275.550169,1427.202377
8.040201005,1376.8008,1534.381731,1279.4008,1431.081731
8.542713568,1380.644842,1538.244318,1283.244842,1434.944318
9.045226131,1384.482294,1542.090137,1287.082294,1438.790137
9.547738693,1388.313157,1545.919189,1290.913157,1442.619189
10.05025126,1392.137431,1549.731474,1294.737431,1446.431474
10.55276382,1395.955116,1553.526991,1298.555116,1450.226991
11.05527638,1399.766211,1557.305742,1302.366211,1454.005742
11.55778894,1403.570717,1561.067725,1306.170717,1457.767725
12.06030151,1407.368634,1564.812941,1309.968634,1461.512941
12.56281407,1411.159962,1568.541389,1313.759962,1465.241389
13.06532663,1414.9447,1572.25307,1317.5447,1468.95307
13.5678392,1418.72285,1575.947984,1321.32285,1472.647984
14.07035176,1422.49441,1579.626131,1325.09441,1476.326131
14.57286432,1426.259381,1583.287511,1328.859381,1479.987511
15.07537688,1430.017762,1586.932123,1332.617762,1483.632123
15.57788945,1433.769555,1590.559968,1336.369555,1487.259968
16.08040201,1437.514758,1594.171046,1340.114758,1490.871046
16.58291457,1441.253372,1597.765356,1343.853372,1494.465356
17.08542714,1444.985396,1601.342899,1347.585396,1498.042899
17.5879397,1448.710832,1604.903675,1351.310832,1501.603675
18.09045226,1452.429678,1608.447684,1355.029678,1505.147684
18.59296482,1456.141935,1611.974926,1358.741935,1508.674926
19.09547739,1459.847603,1615.4854,1362.447603,1512.1854
19.59798995,1463.546681,1618.979107,1366.146681,1515.679107
20.10050251,1467.239171,1622.456047,1369.839171,1519.156047
20.60301508,1470.925071,1625.916219,1373.525071,1522.616219
21.10552764,1474.604382,1629.359624,1377.204382,1526.059624
21.6080402,1478.277103,1632.786262,1380.877103,1529.486262
22.11055276,1481.943236,1636.196133,1384.543236,1532.896133
22.61306533,1485.602779,1639.589236,1388.202779,1536.289236
23.11557789,1489.255733,1642.965573,1391.855733,1539.665573
23.61809045,1492.902098,1646.325142,1395.502098,1543.025142
24.12060302,1496.541873,1649.667943,1399.141873,1546.367943
24.62311558,1500.175059,1652.993978,1402.775059,1549.693978
25.12562814,1503.801657,1656.303245,1406.401657,1553.003245
25.6281407,1507.421664,1659.595745,1410.021664,1556.295745
26.13065327,1511.035083,1662.871477,1413.635083,1559.571477
26.63316583,1514.641912,1666.130443,1417.241912,1562.830443
27.13567839,1518.242152,1669.372641,1420.842152,1566.072641
27.63819095,1521.835803,1672.598072,1424.435803,1569.298072
28.14070352,1525.422865,1675.806736,1428.022865,1572.506736
28.64321608,1529.003338,1678.998632,1431.603338,1575.698632
29.14572864,1532.577221,1682.173761,1435.177221,1578.873761
29.64824121,1536.144515,1685.332123,1438.744515,1582.032123
30.15075377,1539.70522,1688.473718,1442.30522,1585.173718
30.65326633,1543.259335,1691.598545,1445.859335,1588.298545
31.15577889,1546.806861,1694.706605,1449.406861,1591.406605
31.65829146,1550.347799,1697.797898,1452.947799,1594.497898
32.16080402,1553.882146,1700.872424,1456.482146,1597.572424
32.66331658,1557.409905,1703.930182,1460.009905,1600.630182
33.16582915,1560.931074,1706.971173,1463.531074,1603.671173
33.66834171,1564.445655,1709.995397,1467.045655,1606.695397
34.17085427,1567.953646,1713.002854,1470.553646,1609.702854
34.67336683,1571.455047,1715.993543,1474.055047,1612.693543
35.1758794,1574.94986,1718.967465,1477.54986,1615.667465
35.67839196,1578.438083,1721.92462,1481.038083,1618.62462
36.18090452,1581.919717,1724.865008,1484.519717,1621.565008
36.68341709,1585.394762,1727.788628,1487.994762,1624.488628
37.18592965,1588.863218,1730.695481,1491.463218,1627.395481
37.68844221,1592.325084,1733.585567,1494.925084,1630.285567
38.19095477,1595.780361,1736.458886,1498.380361,1633.158886
38.69346734,1599.229049,1739.315437,1501.829049,1636.015437
39.1959799,1602.671148,1742.155221,1505.271148,1638.855221
39.69849246,1606.106657,1744.978238,1508.706657,1641.678238
40.20100503,1609.535577,1747.784488,1512.135577,1644.484488
40.70351759,1612.957908,1750.57397,1515.557908,1647.27397
41.20603015,1616.37365,1753.346685,1518.97365,1650.046685
41.70854271,1619.782803,1756.102633,1522.382803,1652.802633
42.21105528,1623.185366,1758.841814,1525.785366,1655.541814
42.71356784,1626.58134,1761.564227,1529.18134,1658.264227
43.2160804,1629.970725,1764.269873,1532.570725,1660.969873
43.71859296,1633.353521,1766.958752,1535.953521,1663.658752
44.22110553,1636.729727,1769.630863,1539.329727,1666.330863
44.72361809,1640.099344,1772.286208,1542.699344,1668.986208
45.22613065,1643.462372,1774.924785,1546.062372,1671.624785
45.72864322,1646.818811,1777.546595,1549.418811,1674.246595
46.23115578,1650.16866,1780.151637,1552.76866,1676.851637
46.73366834,1653.511921,1782.739912,1556.111921,1679.439912
47.2361809,1656.848592,1785.31142,1559.448592,1682.01142
47.73869347,1660.178674,1787.866161,1562.778674,1684.566161
48.24120603,1663.502166,1790.404135,1566.102166,1687.104135
48.74371859,1666.819069,1792.925341,1569.419069,1689.625341
49.24623116,1670.129384,1795.42978,1572.729384,1692.12978
49.74874372,1673.433109,1797.917452,1576.033109,1694.617452
50.25125628,1676.730244,1800.388356,1579.330244,1697.088356
50.75376884,1680.020791,1802.842494,1582.620791,1699.542494
51.25628141,1683.304748,1805.279864,1585.904748,1701.979864
51.75879397,1686.582116,1807.700466,1589.182116,1704.400466
52.26130653,1689.852895,1810.104302,1592.452895,1706.804302
52.7638191,1693.117084,1812.49137,1595.717084,1709.19137
53.26633166,1696.374684,1814.861671,1598.974684,1711.561671
53.76884422,1699.625696,1817.215205,1602.225696,1713.915205
54.27135678,1702.870117,1819.551971,1605.470117,1716.251971
54.77386935,1706.10795,1821.871971,1608.70795,1718.571971
55.27638191,1709.339193,1824.175203,1611.939193,1720.875203
55.77889447,1712.563848,1826.461667,1615.163848,1723.161667
56.28140704,1715.781913,1828.731365,1618.381913,1725.431365
56.7839196,1718.993388,1830.984295,1621.593388,1727.684295
57.28643216,1722.198275,1833.220458,1624.798275,1729.920458
57.78894472,1725.396572,1835.439854,1627.996572,1732.139854
58.29145729,1728.58828,1837.642482,1631.18828,1734.342482
58.79396985,1731.773399,1839.828343,1634.373399,1736.528343
59.29648241,1734.951928,1841.997437,1637.551928,1738.697437
59.79899497,1738.123869,1844.149764,1640.723869,1740.849764
60.30150754,1741.28922,1846.285324,1643.88922,1742.985324
60.8040201,1744.447982,1848.404116,1647.047982,1745.104116
61.30653266,1747.600155,1850.506141,1650.200155,1747.206141
61.80904523,1750.745738,1852.591398,1653.345738,1749.291398
62.31155779,1753.884732,1854.659889,1656.484732,1751.359889
62.81407035,1757.017137,1856.711612,1659.617137,1753.411612
63.31658291,1760.142953,1858.746568,1662.742953,1755.446568
63.81909548,1763.262179,1860.764757,1665.862179,1757.464757
64.32160804,1766.374817,1862.766178,1668.974817,1759.466178
64.8241206,1769.480865,1864.750832,1672.080865,1761.450832
65.32663317,1772.580324,1866.718719,1675.180324,1763.418719
65.82914573,1775.673193,1868.669839,1678.273193,1765.369839
66.33165829,1778.759474,1870.604191,1681.359474,1767.304191
66.83417085,1781.839165,1872.521776,1684.439165,1769.221776
67.33668342,1784.912267,1874.422594,1687.512267,1771.122594
67.83919598,1787.97878,1876.306645,1690.57878,1773.006645
68.34170854,1791.038703,1878.173928,1693.638703,1774.873928
68.84422111,1794.092037,1880.024445,1696.692037,1776.724445
69.34673367,1797.138782,1881.858193,1699.738782,1778.558193
69.84924623,1800.178938,1883.675175,1702.778938,1780.375175
70.35175879,1803.212505,1885.47539,1705.812505,1782.17539
70.85427136,1806.239482,1887.258837,1708.839482,1783.958837
71.35678392,1809.25987,1889.025517,1711.85987,1785.725517
71.85929648,1812.273669,1890.775429,1714.873669,1787.475429
72.36180905,1815.280879,1892.508575,1717.880879,1789.208575
72.86432161,1818.281499,1894.224953,1720.881499,1790.924953
73.36683417,1821.27553,1895.924564,1723.87553,1792.624564
73.86934673,1824.262972,1897.607407,1726.862972,1794.307407
74.3718593,1827.243825,1899.273483,1729.843825,1795.973483
74.87437186,1830.218089,1900.922793,1732.818089,1797.622793
75.37688442,1833.185763,1902.555334,1735.785763,1799.255334
75.87939698,1836.146848,1904.171109,1738.746848,1800.871109
76.38190955,1839.101344,1905.770116,1741.701344,1802.470116
76.88442211,1842.049251,1907.352357,1744.649251,1804.052357
77.38693467,1844.990568,1908.917829,1747.590568,1805.617829
77.88944724,1847.925296,1910.466535,1750.525296,1807.166535
78.3919598,1850.853435,1911.998473,1753.453435,1808.698473
78.89447236,1853.774985,1913.513644,1756.374985,1810.213644
79.39698492,1856.689945,1915.012048,1759.289945,1811.712048
79.89949749,1859.598316,1916.493685,1762.198316,1813.193685
80.40201005,1862.500098,1917.958554,1765.100098,1814.658554
80.90452261,1865.395291,1919.406656,1767.995291,1816.106656
81.40703518,1868.283895,1920.837991,1770.883895,1817.537991
81.90954774,1871.165909,1922.252559,1773.765909,1818.952559
82.4120603,1874.041334,1923.650359,1776.641334,1820.350359
82.91457286,1876.91017,1925.031392,1779.51017,1821.731392
83.41708543,1879.772417,1926.395658,1782.372417,1823.095658
83.91959799,1882.628074,1927.743156,1785.228074,1824.443156
84.42211055,1885.477142,1929.073888,1788.077142,1825.773888
84.92462312,1888.319621,1930.387852,1790.919621,1827.087852
85.42713568,1891.155511,1931.685048,1793.755511,1828.385048
85.92964824,1893.984812,1932.965478,1796.584812,1829.665478
86.4321608,1896.807523,1934.22914,1799.407523,1830.92914
86.93467337,1899.623645,1935.476035,1802.223645,1832.176035
87.43718593,1902.433178,1936.706163,1805.033178,1833.406163
87.93969849,1905.236122,1937.919523,1807.836122,1834.619523
88.44221106,1908.032476,1939.116117,1810.632476,1835.816117
88.94472362,1910.822241,1940.295943,1813.422241,1836.995943
89.44723618,1913.605417,1941.459002,1816.205417,1838.159002
89.94974874,1916.382004,1942.605293,1818.982004,1839.305293
90.45226131,1919.152001,1943.734817,1821.752001,1840.434817
90.95477387,1921.915409,1944.847574,1824.515409,1841.547574
91.45728643,1924.672228,1945.943564,1827.272228,1842.643564
91.95979899,1927.422458,1947.022787,1830.022458,1843.722787
92.46231156,1930.166099,1948.085242,1832.766099,1844.785242
92.96482412,1932.90315,1949.13093,1835.50315,1845.83093
93.46733668,1935.633612,1950.159851,1838.233612,1846.859851
93.96984925,1938.357485,1951.172004,1840.957485,1847.872004
94.47236181,1941.074769,1952.16739,1843.674769,1848.86739
94.97487437,1943.785463,1953.146009,1846.385463,1849.846009
95.47738693,1946.489568,1954.107861,1849.089568,1850.807861
95.9798995,1949.187084,1955.052945,1851.787084,1851.752945
96.48241206,1951.878011,1955.981263,1854.478011,1852.681263
96.98492462,1954.562349,1956.892813,1857.162349,1853.592813
97.48743719,1957.240097,1957.787595,1859.840097,1854.487595
97.98994975,1959.911256,1958.665611,1862.511256,1855.365611
98.49246231,1962.575826,1959.526859,1865.175826,1856.226859
98.99497487,1965.233806,1960.37134,1867.833806,1857.07134
99.49748744,1967.885198,1961.199054,1870.485198,1857.899054
100,1970.53,1962.01,1873.13,1858.71
