Ce,Ti,Hf,Sn,Ge,Y,Sc,Yb,Er,Sm,Nd,Gd,La,In,Nb,Ta,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,T,a,b,c,beta,ref
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.154,5.2075,5.3107,99.14,Green1989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.1469,5.2056,5.3145,99.14,Green1989
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1.3048,0.43488,4,0.7531,0.8556,1.586,2.0024,25,5.2068,5.225,5.382,98.924,Yashima1995
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.1501,5.2077,5.3171,99.224,Yashima1995
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.3258,0.42748,4,0.75885,0.8426,1.556,2.0504,25,5.1581,5.213,5.3249,99.183,Yashima1995
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1.3195,0.4297,4,0.757125,0.8465,1.565,2.036,25,5.1711,5.221,5.3387,99.116,Yashima1995
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1.3132,0.43192,4,0.7554,0.8504,1.574,2.0216,25,5.1851,5.228,5.354,99.051,Yashima1995
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1.309,0.4334,4,0.75425,0.853,1.58,2.012,25,5.1957,5.2287,5.3667,99.004,Yashima1995
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1.3195,0.4297,4,0.757125,0.8465,1.565,2.036,25,5.169,5.223,5.336,99.13,Tani1983
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1.3195,0.4297,4,0.757125,0.8465,1.565,2.036,25,5.168,5.222,5.334,99.12,Tani1983
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1.309,0.4334,4,0.75425,0.853,1.58,2.012,25,5.188,5.23,5.364,98.9,Tani1983
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1.309,0.4334,4,0.75425,0.853,1.58,2.012,25,5.194,5.228,5.365,99,Tani1983
6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.1,1.31551,0.431106,4,0.7560325,0.84897,1.5707,2.02688,25,5.173,5.223,5.343,99.087,Alan unpublished
11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6,1.30606,0.434436,4,0.753445,0.85482,1.5842,2.00528,25,5.1972,5.2191,5.3701,98.9604,Alan unpublished
12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,1.30354,0.435324,4,0.752755,0.85638,1.5878,1.99952,25,5.2068,5.2258,5.3799,98.914,Alan unpublished
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1.3216,0.42896,4,0.7577,0.8452,1.562,2.0408,19.160585,5.162382918,5.224918201,5.32982615,99.12982473,Urabe1988
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1.3216,0.42896,4,0.7577,0.8452,1.562,2.0408,302.5675773,5.172429119,5.217905239,5.351235764,99.02066948,Urabe1988
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1.3216,0.42896,4,0.7577,0.8452,1.562,2.0408,624.9203036,5.187078541,5.219640926,5.374161997,98.89061357,Urabe1988
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1.3216,0.42896,4,0.7577,0.8452,1.562,2.0408,799.867926,5.19413644,5.214810212,5.386384828,98.73679791,Urabe1988
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.3174,0.43044,4,0.75655,0.8478,1.568,2.0312,22.1339904,5.175819045,5.22336507,5.34584053,99.10918827,Urabe1988
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.3174,0.43044,4,0.75655,0.8478,1.568,2.0312,199.9069516,5.178217551,5.222146157,5.356513039,99.03786181,Urabe1988
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.3174,0.43044,4,0.75655,0.8478,1.568,2.0312,400.8989211,5.189895522,5.218323714,5.368193818,98.94985256,Urabe1988
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.3174,0.43044,4,0.75655,0.8478,1.568,2.0312,601.8143105,5.194858238,5.222247265,5.382452851,98.80829421,Urabe1988
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.3174,0.43044,4,0.75655,0.8478,1.568,2.0312,700.640425,5.202505933,5.224216062,5.391653677,98.72924913,Urabe1988
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1.3132,0.43192,4,0.7554,0.8504,1.574,2.0216,19.52656309,5.183056691,5.228532811,5.352564211,99.06384846,Urabe1988
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1.3132,0.43192,4,0.7554,0.8504,1.574,2.0216,300.8933831,5.194650405,5.222556206,5.376046538,98.92997098,Urabe1988
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1.3132,0.43192,4,0.7554,0.8504,1.574,2.0216,533.7839131,5.203713612,5.221283931,5.390277485,98.75926494,Urabe1988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,19.16347711,5.154180741,5.21155367,5.320845486,99.23188895,Frey1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,945.0827427,5.190418823,5.22047658,5.381680366,98.83404629,Frey1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1071.608829,5.195437096,5.220573418,5.391066714,98.74905068,Frey1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1124.871369,5.197117923,5.22061492,5.393293983,98.71856146,Frey1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1177.000096,5.19879875,5.221202864,5.395521252,98.69462743,Frey1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25.4936881,5.149086299,5.201237589,5.318966921,99.2371134,Boysen1991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,828.3190502,5.18239102,5.211307322,5.372411108,98.83298969,Boysen1991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,880.8175806,5.184990089,5.211839613,5.377075627,98.79793814,Boysen1991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,920.9593499,5.187068813,5.212370578,5.380184422,98.77113402,Boysen1991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,952.7824354,5.18604538,5.212379869,5.380196368,98.75463918,Boysen1991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1002.178863,5.187094034,5.213944886,5.383310472,98.72783505,Boysen1991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,22,5.1505,5.2116,5.3173,99.23,Howard1988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,27,5.1451,5.2023,5.3219,99.15,Winterer2002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,27,5.1487,5.2023,5.3231,99.164,Winterer2002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.145,5.2075,5.3107,99.23333333,Adam1959 [from Patil1969]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,33,5.1415,5.2056,5.3128,99.307,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,319,5.1524,5.2067,5.3305,99.169,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,475,5.1629,5.2055,5.3428,99.073,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,633,5.1732,5.2076,5.3557,98.995,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,798,5.1806,5.2103,5.3659,98.858,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,932,5.1867,5.2094,5.3796,98.739,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,956,5.1882,5.2142,5.3836,98.783,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,985,5.1893,5.2137,5.3872,98.761,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1014,5.1931,5.2116,5.3862,98.674,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1040,5.1906,5.212,5.3899,98.719,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1089,5.1868,5.2165,5.3883,98.78,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1144,5.1908,5.2176,5.3893,98.685,Patil1969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.151218,5.205314,5.317123,99.23219,Eddie
